Country,electricity,gdp,happiness,life,natural,pop,primary_2017,unemployment
France,100,38679.12715,6.441999912,82.52439024,0.042362577,122.1154053,102.5108,9.397000313
Georgia,100,4045.41705,4.285999775,73.414,1.080412794,65.22278596,100.3583,13.93000031
Germany,100,44681.08258,6.951000214,80.9902439,0.068903995,236.5954946,104.0224,3.746000051
Ghana,79,2025.885857,4.1199998860000004,63.463,13.05817098,127.9839633,105.5099,6.629000187
Greece,100,18883.46007,5.227000237,81.38780488,0.125129738,83.43428239,99.55348,21.48800087
Guatemala,93.28809357,4470.610798,6.453999996,73.81,2.029228413,157.8474804,101.1949,2.684000015
Honduras,86.5,2432.935364,5.181000233,74.898,2.09204233,84.27038162,91.53496,4.047999859
Hungary,100,14278.8745,5.323999882,76.06341463,0.290070996,108.1184801,100.8055,4.156000137
Iceland,100,71314.7742,7.504000187,82.20487805,2.3957e-4,3.425436409,100.3514,2.742000103
India,92.61865997,1981.499045,4.315000057,69.165,2.142972297,450.2432858,112.9579,2.556999922
Indonesia,98.14,3836.913814,5.262000084,71.282,3.484669877,146.0864808,105.9114,4.184999943
Ireland,100,69649.88274,6.977000237,81.95609756,0.139401921,69.78353898,100.8528,6.7100000380000004
Israel,100,40543.58417,7.212999821,82.60243902,0.141124184,402.6478743,104.9011,4.215000153
Italy,100,32155.20587,5.964000225,83.24390244,0.071201821,205.8091691,101.8794,11.21100044
Jamaica,99.50644684,5060.544924,5.31099987,74.267,1.212481097,269.7001847,89.76785,11.6590004
Jordan,100,4168.641604,5.335999966,74.292,0.72701362,110.1506308,80.77087,14.87899971
Kazakhstan,100,9030.318806,5.818999767,72.95,16.19345954,6.681400156,108.7478,4.900000095
Kuwait,100,29474.54143,6.105000019,75.311,37.13877149,227.6148709,95.6888,1.996999979
Latvia,100,15684.55852,5.849999905,74.6804878,0.860849609,31.23589579,99.36784,8.715000153
Lesotho,33.73075867,1232.786919,3.808000088,52.947,5.891373966,68.88708827,120.8975,23.61300087
Liberia,21.48886871,698.7017644,3.532999992,63.295,25.20409969,48.81881229,85.10919,2.028000116
Lithuania,100,16809.64826,5.90199995,74.67073171,0.327791219,45.15186156,103.8747,7.072999954
Luxembourg,100,104498.7387,6.862999916,82.68536585,0.013573212,245.4057613,102.2859,5.521999836
Malawi,12.7,356.7175732,3.970000029,63.279,9.604024921,187.4232075,145.4889,5.467999935
Malaysia,100,10117.56903,6.084000111,75.828,6.305118138,94.67365089,105.2916,3.410000086
Mali,43.08983994,828.6132202,4.190000057,58.452,11.39847104,15.17173063,80.17078,9.43500042
Mauritania,42.91231918,1161.785457,4.291999817,64.464,24.1154013,4.155015038,96.65904,10.27600002
Mauritius,98.03143311,10484.90836,5.629000187,74.51463415,0.003373145,622.962069,101.5252,6.751999855
Mexico,100,9281.101483,6.578000069,74.947,2.876095555,64.18751717,105.77,3.420000076
Moldova,100,2724.493093,5.837999821,71.717,0.284942172,123.6352109,91.25053,4.09800005
Mongolia,85.86965179,3671.948419,4.954999924,69.509,40.52481302,2.004286284,102.9341,6.359000206
Montenegro,100,7784.06529,5.236999989,76.667,1.33758134,46.2730855,98.11321,16.07099915
Morocco,100,3036.171062,5.235000134,76.218,1.62830582,79.72505938,112.4022,9.05300045
Mozambique,27.42547035,441.6178369,4.550000191,59.309,19.47190624,36.43150512,107.8132,3.173000097
Myanmar,69.8148366,1249.828757,4.545000076,66.558,7.138884416,81.73972714,112.2236,1.550999999
Nepal,95.50747681,900.5739036,4.961999893,70.169,1.134180282,192.7249669,143.9195,1.253000021
Netherlands,100,48554.99228,7.376999855,81.56097561,0.364723408,508.4979519,104.2296,4.839000225
New Zealand,100,42260.12518,7.31400013,81.65853659,1.044214669,18.20629676,99.97476,4.702000141
Niger,20.04190445,375.8694897,4.027999878,61.599,13.30431471,17.05413436,74.7362,0.284999996
Norway,100,75704.2487,7.537000179,82.5097561,5.924530461,14.45257595,100.2602,4.162000179
Pakistan,70.79,1466.843096,5.269000053,66.947,1.051665576,269.6874818,90.58917,3.180999994
Panama,100,15166.12443,6.452000141,78.149,0.192480984,55.24308582,94.38599,3.9000000950000002
Peru,96.36299133,6700.81138,5.715000153,76.286,8.913026794,24.56585703,103.5196,3.460000038
Philippines,93,2981.934151,5.429999828,70.952,1.208229492,352.7291948,107.5098,2.552000046
Poland,100,13861.05156,5.97300005,77.85121951,0.955618388,124.0237304,100.0159,4.887000084
Portugal,100,21291.43099,5.195000172,81.12439024,0.352397454,112.4418211,106.1831,8.866999626
Qatar,100,61264.39648,6.375,79.981,17.94662127,234.687683,103.2807,0.140000001
Rwanda,34.1,762.4991636,3.470999956,68.341,5.899483398,485.648034,137.6818,0.953999996
Senegal,61.7,1367.218948,4.534999847,67.38,3.82233549,80.08819924,85.57928,6.436999798
Serbia,100,6284.192672,5.394999981,76.08780488,1.305879415,80.27507432,100.3129,13.47700024
Sierra Leone,23.4,499.3807078,4.709000111,53.895,22.15351226,103.7466196,124.4763,4.324999809
Singapore,100,60297.79378,6.572000027,82.89512195,4.28527e-4,7915.730436,100.627,3.907000065
Slovenia,100,23449.57452,5.757999897,81.17560976,0.213509064,102.5910064,100.3967,6.56400013
South Africa,84.4,6127.462297,4.828999996,63.538,5.140270609,46.98781706,100.8647,27.32699966
Spain,100,28208.26105,6.402999878,83.32926829,0.101134063,93.26780444,102.7103,17.22400093
Sri Lanka,97.54497528,4104.630983,4.440000057,76.648,0.137962671,341.9550311,100.6327,4.179999828
Sweden,100,53253.47664,7.28399992,82.30731707,0.542100946,24.69298078,126.5754,6.717999935
Switzerland,100,80333.44494,7.493999958,83.60243902,0.010937101,213.8839911,105.1907,4.796999931
Tajikistan,99.3,806.0415731,5.040999889,70.647,5.688128914,63.98348584,100.8574,10.73799992
Tanzania,32.8133316,1004.841121,3.348999977,64.479,6.616386051,61.71134116,89.21768,1.93900001
Thailand,100,6578.188865,6.423999786,76.683,1.674491409,135.4691969,99.62503,0.632000029
Togo,48,619.066371,3.494999886,60.489,16.4416229,141.5421033,124.351,1.657999992
Tunisia,100,3494.318864,4.804999828,76.31,2.40914468,73.59322219,115.6496,15.37899971
Turkey,100,10499.74557,5.5,77.161,0.363303284,105.3777685,93.15498,10.81900024
Uganda,22,631.5227198,4.080999851,62.516,13.85620466,205.2786006,102.7047,1.697999954
United Arab Emirates,100,40325.382,6.647999763,77.647,13.68873592,133.5849479,122.265,2.463000059
United Kingdom,100,39932.06029,6.714000225,81.15609756,0.439557623,273.049473,101.1546,4.3350000380000004
United States,100,59927.92983,6.993000031,78.53902439,0.473108552,35.54522707,101.8214,4.355000019
Uruguay,100,16437.24487,6.453999996,77.632,1.649149655,19.63573306,108.4594,7.889999866
Uzbekistan,100,1826.56704,5.971000195,71.388,14.69499926,76.13681241,103.6549,4.972000122
Vietnam,100,2365.621666,5.073999882,75.241,2.861402446,305.0815687,109.1508,1.886000037
Zambia,40.3,1534.865371,4.513999939,63.043,15.94726442,22.67139456,98.71552,7.205999851
