Country,electricity,gdp,happiness,life,natural,pop,primary_2017,unemployment
Afghanistan,97.7,556.3021385,3.79399991,64.13,0.693530677,55.59599302,102.3105,1.559000015
Albania,100,4532.889198,4.644000053,78.333,1.698859222,104.8706934,107.0466,13.75
Algeria,100,4048.285258,5.872000217,76.499,14.70616308,17.37771461,111.7645,11.99600029
Argentina,100,14591.86338,6.598999977,76.372,1.322812748,16.09419079,109.7415,8.347000122
Armenia,100,3914.501268,4.375999928,74.797,5.815620913,103.4355111,94.08352,17.82699966
Australia,100,54093.60219,7.28399992,82.49756098,7.20768932,3.198361419,100.339,5.593999863
Austria,100,47380.82964,7.006000042,81.64146341,0.13947014,106.6074453,103.1132,5.499000072
Azerbaijan,100,4147.089716,5.234000206,72.693,21.01902543,119.1972058,103.2941,5
Bahrain,100,23715.48275,6.086999893,77.032,3.515112802,1920.403524,101.2131,0.947000027
Belarus,100,5761.74712,5.568999767,74.12926829,1.377342065,46.79224208,101.9658,5.650000095
Belgium,100,43507.2382,6.890999794,81.43902439,0.018807977,375.6657199,103.9056,7.085999966
Belize,98.26512146,4956.808039,5.955999851,74.365,0.99854134,16.47387111,113.2306,9
Benin,43.07774734,827.4298101,3.657000065,61.174,5.757889959,99.10610145,126.6461,2.180000067
Bhutan,97.7,3390.714075,5.011000156,71.129,3.947703367,19.54614144,101.3341,2.170000076
Bolivia,91.8,3351.124053,5.822999954,70.945,6.925103236,10.33218314,97.55629,3.23300004
Brazil,100,9880.946543,6.635000229,75.456,3.532034204,24.8660385,115.4478,12.82699966
Burkina Faso,25.47374344,642.0404265,4.032000065,60.768,19.94201849,70.15089181,93.65313,6.014999866
Burundi,9.3,293.009062,2.904999971,60.898,16.21077067,421.6130841,123.8596,1.501000047
Cambodia,89.07,1385.25998,4.168000221,69.289,1.731379629,90.69461817,107.8131,1.062000036
Canada,100,45069.92725,7.315999985,82.24897561,1.729655207,4.01827985,100.9437,6.340000153
Chile,100,15037.35011,6.65199995,79.909,11.47792034,24.84148392,101.4302,6.958000183
China,100,8759.041578,5.272999763,76.47,1.496189953,147.6740508,99.40481,4.400000095
Colombia,99.59523773,6375.932063,6.356999874,76.925,4.315007897,44.07486796,114.9833,8.871999741
Costa Rica,99.6,11752.5436,7.078999996,79.914,1.181349064,96.94386996,110.8335,8.142000198
Czech Republic,100,20379.89604,6.609000206,79.47560976,0.310398012,137.1981093,100.671,2.890000105
Denmark,100,57218.85485,7.521999836,81.00487805,0.513894525,137.2941176,101.2681,5.743000031
Dominican Republic,100,7222.554044,5.230000019,73.689,2.525045187,217.6181122,107.7998,5.831999779
Ecuador,100,6213.501276,6.007999897,76.584,5.509427514,67.58480029,103.5349,3.835999966
El Salvador,99.49038696,3902.237622,6.002999783,72.872,0.94033783,308.3070463,96.15064,4.385000229
Estonia,100,20200.37559,5.611000061,77.64146341,1.045031311,30.30559006,97.23017,5.760000229
Finland,100,45809.97338,7.468999863,81.42926829,0.582211598,18.1244908,100.1546,8.640000343
